Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;35.80;36.90;35.20;36.65;"13/05/2022 16:25";CET;177894;6436598.75
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;94.00;94.40;88.80;91.20;"13/05/2022 16:25";CET;30767;2796572.40
"OLAV THON EIENDOMS";NO0005638858;OLT;"Oslo Børs";NOK;179.00;184.00;178.00;183.50;"13/05/2022 16:25";CET;6228;1121530.50
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;75.40;76.06;74.74;76.00;"13/05/2022 16:25";CET;1609043;121858873.64
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;27.00;27.10;25.55;25.55;"13/05/2022 16:25";CET;308691;8335046.20
OTOVO;NO0010809783;OTOVO;"Euronext Growth Oslo";NOK;23.15;23.75;22.80;23.00;"13/05/2022 16:25";CET;106681;2485871.00
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;30.18;31.64;30.18;31.42;"13/05/2022 16:25";CET;743604;23061315.44
"PARETO BANK";NO0010397581;PARB;"Oslo Børs";NOK;50.30;51.70;50.30;51.40;"13/05/2022 16:25";CET;23853;1222913.70
"PATIENTSKY GROUP";NO0010895667;PSKY;"Euronext Growth Oslo";NOK;3.00;3.00;2.815;2.995;"13/05/2022 16:19";CET;20700;61950.50
"PCI BIOTECH HOLD";NO0010405640;PCIB;"Oslo Børs";NOK;4.10;4.375;4.00;4.105;"13/05/2022 16:25";CET;104335;428759.51
PETROLIA;CY0102630916;PSE;"Oslo Børs";NOK;4.70;5.02;4.70;5.02;"13/05/2022 16:16";CET;6110;28783.56
"PETRONOR E&P";NO0011157232;PNOR;"Oslo Børs";NOK;0.82;0.84;0.8101;0.819;"13/05/2022 16:25";CET;923304;761340.5356
"PEXIP HOLDING";NO0010840507;PEXIP;"Oslo Børs";NOK;16.34;19.01;15.53;18.50;"13/05/2022 16:28";CET;3703641;63979968.85
PGS;NO0010199151;PGS;"Oslo Børs";NOK;5.30;5.64;5.14;5.20;"13/05/2022 16:27";CET;13228270;70559936.925
"PHILLY SHIPYARD";NO0010395577;PHLY;"Euronext Expand Oslo";NOK;55.00;57.90;54.10;57.80;"13/05/2022 15:56";CET;15731;886650.40
PHOTOCURE;NO0010000045;PHO;"Oslo Børs";NOK;99.00;99.10;94.35;98.90;"13/05/2022 16:25";CET;91834;8947663.45
"PIONEER PROPERTY";NO0010735681;PPG;"Euronext Expand Oslo";NOK;102.00;102.50;102.00;102.50;"13/05/2022 16:25";CET;900;92037.50
"PLAY MAGNUS";NO0010890726;PMG;"Euronext Growth Oslo";NOK;10.00;10.00;9.50;9.79;"13/05/2022 16:25";CET;14286;139161.26
